"UserPrincipalName","DisplayName","GivenName","Surname","Department","JobTitle","UsageLocation","AccountEnabled","License","Password","Status","Group","Id"
"david.anderson@intbussmgt.onmicrosoft.com","David Anderson","David","Anderson","Mechanical","Sr. Mechanical Engineer","US","True","None","EHA!wmTBKEkQPu","Created","Department_Mechanical","a2e602f6-db45-4db8-bb31-ce53aea6f441"
"joseph.anderson@intbussmgt.onmicrosoft.com","Joseph Anderson","Joseph","Anderson","Mafraq","Intern","US","True","None","MYBy4xBKcu^CB!","Created","Department_Mafraq","3421b040-1063-40b0-a4f7-1e60f701fd2a"
"kimberly.anderson@intbussmgt.onmicrosoft.com","Kimberly Anderson","Kimberly","Anderson","Mechanical","Senior Mechanical Designer","US","True","None","qBK^FD%ftsQK#D","Created","Department_Mechanical","b6dac71e-3dab-4d83-bedc-288cbc7eb1cc"
"lisa.anderson@intbussmgt.onmicrosoft.com","Lisa Anderson","Lisa","Anderson","Mechanical","Mechanical Department Head","US","True","None","AU@&ECL$TNQLZ5","Created","Department_Mechanical","aaa01233-850f-4e82-b8dc-c4f7ee38b0c7"
"paul.anderson@intbussmgt.onmicrosoft.com","Paul Anderson","Paul","Anderson","Electrical","Electrical Designer","US","True","None","5Yu42$BEUma2zw","Created","Department_Electrical","f4b50666-143b-4908-890c-6b2db3525f5b"
"emily.brown@intbussmgt.onmicrosoft.com","Emily Brown","Emily","Brown","ME Admin","Intern","US","True","None","@Hnk1yp^P9qr7g","Created","Department_ME Admin","e7443226-7e91-430f-8822-25ee96527a53"
"michael.brown@intbussmgt.onmicrosoft.com","Michael Brown","Michael","Brown","Electrical","Electrical Designer","US","True","None","EH#YncWkmpXn2Q","Created","Department_Electrical","8f712966-9d7a-4e48-8132-8dbdc8451ca6"
"nancy.brown@intbussmgt.onmicrosoft.com","Nancy Brown","Nancy","Brown","ME Admin","Office Administrator","US","True","None","mn9kHyPREK1RCF","Created","Department_ME Admin","a1b9945a-5bae-49cc-a283-17311cb403f5"
"ashley.clark@intbussmgt.onmicrosoft.com","Ashley Clark","Ashley","Clark","AlAin","Intern","US","True","None","g5serdW3UCnPGn","Created","Department_AlAin","99f33977-94ae-4036-a08a-c4414dc85160"
"christopher.clark@intbussmgt.onmicrosoft.com","Christopher Clark","Christopher","Clark","Administration","Administrative Assistant","US","True","None","zR8*wyZC7wW1m5","Created","Department_Administration","6e4e18b6-bb0a-4307-ae29-27cb63fc117e"
"paul.clark@intbussmgt.onmicrosoft.com","Paul Clark","Paul","Clark","Mafraq","Intern","US","True","None","d#!CFvH7pMem9k","Created","Department_Mafraq","fc907c0b-7336-43bc-9740-c85283b4d3cd"
"donald.davis@intbussmgt.onmicrosoft.com","Donald Davis","Donald","Davis","Plumbing","Sr Plumbing Designer","US","True","None","3@DWbNXWDgn^K#","Created","Department_Plumbing","44e3bb05-3857-47e3-bcba-a26e0aeee7d1"
"linda.davis@intbussmgt.onmicrosoft.com","Linda Davis","Linda","Davis","Electrical","Project Manager | Associate","US","True","None","xkmeeD!!N7rZEk","Created","Department_Electrical","f83111ab-a0cc-4fd6-af7b-54669b5fe536"
"lisa.davis@intbussmgt.onmicrosoft.com","Lisa Davis","Lisa","Davis","Mechanical","Mechanical Designer","US","True","None","q!rhcY6bm16Vhr","Created","Department_Mechanical","837be8fd-0f14-4504-9880-1528594beba2"
"michael.davis@intbussmgt.onmicrosoft.com","Michael Davis","Michael","Davis","Plumbing","Sr Plumbing Designer","US","True","None","W^3XL%Sh$6XKGm","Created","Department_Plumbing","401941f5-b567-489e-b848-d2c226b0aeac"
"sandra.davis@intbussmgt.onmicrosoft.com","Sandra Davis","Sandra","Davis","ME Admin","Intern","US","True","None","u$vxehp&d9HNT!","Created","Department_ME Admin","cafd15f9-38d2-4081-abdc-46a661462bcd"
"steven.davis@intbussmgt.onmicrosoft.com","Steven Davis","Steven","Davis","Mechanical","Mechanical Designer","US","True","None","xXQm#nmAh%ZXUF","Created","Department_Mechanical","0db4b2c6-e0b5-4255-a2e5-8665a488d817"
"jennifer.miller@intbussmgt.onmicrosoft.com","Jennifer Miller","Jennifer","Miller","Mechanical","Sr. Mechanical Engineer | Associate","US","True","None","E6yxU@fxuTBuQY","Created","Department_Mechanical","1206096f-47b2-48f1-ba85-9d2a5f6f7517"
"richard.miller@intbussmgt.onmicrosoft.com","Richard Miller","Richard","Miller","Electrical","Electrical Designer","US","True","None","6XqqhNKNEd#QtU","Created","Department_Electrical","06fa9731-f0d2-4858-be69-5d5bc3ed9edc"
"david.moore@intbussmgt.onmicrosoft.com","David Moore","David","Moore","Mechanical","Sr Mechanical Engineer","US","True","None","*MkgRX3U1X3EHT","Created","Department_Mechanical","c5dee252-7fed-4c3d-a818-f65f36ada16f"
"emily.moore@intbussmgt.onmicrosoft.com","Emily Moore","Emily","Moore","Mechanical","Mechanical Intern","US","True","None","Z1tYtshbH95!kG","Created","Department_Mechanical","b6d0724e-cbec-4c91-ab6f-89e96351a90e"
"sandra.moore@intbussmgt.onmicrosoft.com","Sandra Moore","Sandra","Moore","Electrical","Sr. Project Manager","US","True","None","#bW&WPUzLs2d3e","Created","Department_Electrical","9944b2c7-589e-4978-86e8-019e79ffb215"
"thomas.moore@intbussmgt.onmicrosoft.com","Thomas Moore","Thomas","Moore","Electrical","Electrical Designer","US","True","None","ySvYerk699xtp#","Created","Department_Electrical","05f44d4f-b9a8-4ab4-914a-a9c1821a2df1"
"donna.morris@intbussmgt.onmicrosoft.com","Donna Morris","Donna","Morris","Mechanical","Sr. Mechanical Designer","US","True","None","t9sRA75hKz4LLY","Created","Department_Mechanical","193cf238-bbbc-4f73-8202-043b4994824b"
"emily.perez@intbussmgt.onmicrosoft.com","Emily Perez","Emily","Perez","Mechanical","Sr. Mechanical Engineer","US","True","None","M61PQ3U^tK#vSa","Created","Department_Mechanical","49716288-d08c-4254-be22-57c0d8d9cd17"
"james.perez@intbussmgt.onmicrosoft.com","James Perez","James","Perez","Electrical","Electrical Sr. Project Manager","US","True","None","$aCDrzqW7NuwuG","Created","Department_Electrical","909b4f0a-e7b8-41f7-a13c-a90472f8728e"
"linda.perez@intbussmgt.onmicrosoft.com","Linda Perez","Linda","Perez","Information Systems","Chief Information Officer","US","True","None","&W27B^qNkx#Ra@","Created","Department_Information Systems","e31fbd42-582c-42e7-9093-923dda9a7f26"
